"iso3","year","cow_code","country_name","variable","regime"
"HRV",1882,344,"Croatia","v2x_regime_amb_interpol",0
"HTI",1882,41,"Haiti","v2x_regime_amb_interpol",0
"HUN",1882,310,"Hungary","v2x_regime_amb_interpol",0
"IDN",1882,850,"Indonesia","v2x_regime_amb_interpol",0
"IND",1882,750,"India","v2x_regime_amb_interpol",0
"IRL",1882,205,"Ireland","v2x_regime_amb_interpol",4
"IRN",1882,630,"Iran","v2x_regime_amb_interpol",0
"IRQ",1882,645,"Iraq","v2x_regime_amb_interpol",0
"ISR",1882,666,"Israel","v2x_regime_amb_interpol",0
"ITA",1882,325,"Italy","v2x_regime_amb_interpol",3
"JAM",1882,51,"Jamaica","v2x_regime_amb_interpol",0
"JOR",1882,663,"Jordan","v2x_regime_amb_interpol",0
"JPN",1882,740,"Japan","v2x_regime_amb_interpol",0
"KAZ",1882,705,"Kazakhstan","v2x_regime_amb_interpol",0
"KEN",1882,501,"Kenya","v2x_regime_amb_interpol",0
"KGZ",1882,703,"Kyrgyzstan","v2x_regime_amb_interpol",0
"KHM",1882,811,"Cambodia","v2x_regime_amb_interpol",0
"KOR",1882,732,"South Korea","v2x_regime_amb_interpol",0
"KWT",1882,690,"Kuwait","v2x_regime_amb_interpol",0
"LAO",1882,812,"Laos","v2x_regime_amb_interpol",0
"LBN",1882,660,"Lebanon","v2x_regime_amb_interpol",0
"LBR",1882,450,"Liberia","v2x_regime_amb_interpol",0
"LBY",1882,620,"Libya","v2x_regime_amb_interpol",0
"LKA",1882,780,"Sri Lanka","v2x_regime_amb_interpol",0
"LSO",1882,570,"Lesotho","v2x_regime_amb_interpol",0
"LTU",1882,368,"Lithuania","v2x_regime_amb_interpol",0
"LUX",1882,212,"Luxembourg","v2x_regime_amb_interpol",3
"LVA",1882,367,"Latvia","v2x_regime_amb_interpol",0
"MAR",1882,600,"Morocco","v2x_regime_amb_interpol",0
"MDA",1882,359,"Moldova","v2x_regime_amb_interpol",0
"MDG",1882,580,"Madagascar","v2x_regime_amb_interpol",0
